,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ahead,hers,his,mine,we're,you,himself,they've,itll,,appeared,becomes,began,aren't,might,back,as,however,didnt,bit ,four*,boob*,affair*,exhubby*,companions,chick,aching,adventur*,agitat*,confus*,argh*,crushed,accura*,admitted,bases,hoped,anytime,certain*,barrier*,each,really,blackish*,brown*,hear,edging,alcohol*,arms*,allerg*,butt,binge*,afternoon*,arrive,atop,aged,ambiti*,advantag*,ball,bedroom*,audits,angels,coffin*,ha,,
aint,herself,i,my,weve,youd,his,,it'll,,appears,becoming,believed,arrive,must,basically,at,if,didn't,bits,half,butt,amigo*,exhusband*,comrad*,chick'*,active*,affection*,agoniz*,craz*,argu*,cry,acknowledg*,admitting,basis,hopeful,anywhere,clear,binding,inclu*,something*,blacks,candle*,heard,feel,alive,arous*,amput*,butts,binging,afterthought*,arrived,away,ages,applicant*,ahead,ballet*,beds,bank*,baptis*,coroner*,hah,,
ain't,hes,Id,myself,we've,you'd,oneself,,its,,are,been,bought,arrives,mustnt,beyond,atop,nor,doesnt,both,hundred*,butts,anybod*,exwife*,exbf*,chicks,admir*,agree,agony,desperat*,arrogan*,crying,activat*,afterthought*,because,hopefully,apparently,clearly,block,inside,sometime,blind*,circle,hearing,feeling*,allerg*,arse,anorexi*,butt's,boil*,afterward*,arrives,backward*,aging,applicat*,ambiti*,band,blender*,bargain*,baptiz*,corpse*,haha*,,
all,he's,I'd,,,youll,she,,it's,,arent,being,brought,ask,must'nt,clearly,away,or,doesn't,bunch,infinit*,cock,anyone*,exwive*,exboyfriend*,child,ador*,agreeab*,alarm*,discomfort*,assault*,damag*,add,analy*,boss*,hopefulness,appear,commit,blocked,into,unless,blond*,click*,hears,feels,amput*,arses,antacid*,chlamydia,booz*,again,arriving,below,ago,apprentic*,approv*,bands,broom*,beggar*,belief*,cremat*,heh*,,
allot,him,I'll,,,you'll,she'd,,itself,,aren't,can,called,asks,mustn't,completely,before,otherwise,dont,cetera,million*,cocks*,apolog*,families*,exgf*,children*,advantag*,agreed,alone,distract*,asshole*,defeat*,addit*,answer*,caus*,hopes,appeared,commitment*,blocker*,open,versus,blue*,color*,hush*,felt,anal,arter*,antidepressant*,cock,bread,age,attend,bend,ahead,assign*,attain*,bar,carpet*,begging,bible*,crypt*,hm*,,
along,himself,Im,,,your ,she'll,,nobod*,,arrive,cannot,came,become,mustve,constantly,behind,plus,don't,couple,nine*,crap,argu*,family,exgirl*,child's,adventur*,agreeing,anger*,distraught,attack*,depress*,adjust*,appreciat*,change,hoping,appearing,commits,blocking,out,vs,boom*,colour*,inaudibl*,finger*,ankle*,asleep,appendic*,cocks*,breakfast*,aged,attended,bending,already,assistan*,attempt*,bars,chore*,bet,biblic*,dead,huh,,
alot,his,I'm,,,youre,shes,,other,,arrived,cant,cared,becomes,must've,definitely,below,so,hadnt,difference*,once,crappy,armies,father*,fellow*,citizen,advers*,agreement*,angr*,distress*,bastard*,depriv*,admit,assum*,changed,ideal*,appears,committ*,blocks,plus,whether,bright*,column*,listen,fire,anorexi*,ass,arthr*,condom,brunch*,ages,attending,bends,always,associat*,authorit*,baseball*,clean*,bets,bishop*,death*,lol,,
also,i,ive,,,you're,she's,,others,,arrives,can't,carried,begin,ought,especially,beneath,then,hadn't,doubl*,one,cunt*,army,folks,fiance*,citizen'*,affection*,agrees,anguish*,disturb*,battl*,despair*,admits,attent*,changes,if,approximat*,complete,bound*,we,without,brown*,cream,listened,flexib*,antacid*,asses,aspirin*,condoms,bulimi*,aging,attends,beneath,ancient*,auditorium*,award*,basketball*,closet,betting,bless*,decease*,mm*,,
although,Id,I've,,,yours,,,somebod*,,ask,could,caught,begins,oughta,even,beside,tho,hasnt,each,quarter*,damn*,ask,grandchil*,friend*,citizens,afraid,alright*,annoy*,doubt*,beaten,devastat*,admitted,aware*,changing,impossib*,arbitrar*,completed,brake*,with,,brush*,eye*,listener*,fragil*,antidepressant*,bald,asthma*,cuddl*,cafeteria*,ago,behavio*,bent,annual*,award*,beat,bath*,closets,bill,buddh*,demise,ok,,
am,I'd,lets,,,youve,,,someone*,,asked,couldnt,changed,believe,oughtnt,eventually,besides,though,hasn't,either,second,dang,asked,granddad*,gf*,female*,aggravat*,amaz*,antagoni*,dread*,bitch*,disadvantage*,admitting,became,compel*,inadequa*,assum*,completely,bridle*,,,butter*,eying,listening,freez*,anus*,bellies,bandage*,dick,candie*,ahead,brief*,beside,anymore,beaten,beaten,beach*,condo,billed,catholic*,die,okay,,
among*,I'll,let's,,,you've,,,something*,,asks,couldn't,couldve,believes,ought'nt,ever,between,til,havent,else,seven*,darn,asking,granddau*,girlfriend*,gentlem*,aggress*,amor*,anxi*,dwell*,bitter*,disappoint*,affect,become,compliance,lack*,barely,completes,careful*,,,candle*,gaz*,listens,froze*,appendic*,belly,bandaid,dicks,candy,air,bring,beyond,anytime,benefits,best,beer*,condominium*,billing*,chapel*,died,okey*,,
an,Im,me,,,,,,somewhere,,ate,couldve,could've,bring,oughtn't,frequently,beyond,till,haven't,enough,six*,dick,asks,grandf*,guest*,girl,agitat*,amus*,apath*,embarrass*,blam*,discourag*,affected,becomes,complie*,liabilit*,bet,confidence,caut*,,,caramel*,glanc*,loud*,fuzz*,appendix,bicep*,binge*,dyke*,chew*,already,bringing,big,april,biolog*,better,bicyc*,condos,bills,chaplain*,dies,rofl,,
and,I'm,mine,,,,,,stuff,,be,could've,cried,brings,oughtve,generally,by,unless,isnt,entire*,ten,dicks,assembl*,grandkid*,honey,girl's,agoniz*,aok,appall*,emotional,bother*,dishearten*,affecting,becoming,comply*,mistak*,bets,confident,cease*,,,caress*,glow*,musi*,grab*,appeti*,bladder*,binging,erectile,chow*,always,brings,bigger,august,biz,bonus*,bike*,couch*,bonus*,christ,DOA,uhhu*,,
another,it,my,,,,,,that,,became,did,depended,can,ought've,here,despite,until,isn't,equal*,tenth,dumb*,aunt*,grandm*,lover*,girls*,agony,appreciat*,apprehens*,fear,brutal*,disillusion*,affects,belief*,conclud*,must,betting,confidently,ceasing,,,chocolate*,gray*,noise,grip,arch,blood,bipolar,erection*,cigar*,among*,brought,biggest,autumn,blackboard*,burnout*,birdie*,curtain*,borrow*,christian*,drown*,uhuh,,
any,itd,myself,,,,,,thatd,,become,didnt,described,cannot,shall,heres,down,when,mustnt,etc,third,dyke*,babe*,grandpa*,mate,grownup*,agree,assur*,argh*,feared,cheat*,dissatisf*,afterthought*,believe,consequen*,mustnt,blur*,correct*,compulsiv*,,,choir*,green*,noises,gripp*,arm,bloody,bleed*,erotic*,cocktail*,ancient*,came,both,awhile,bldg*,capab*,blackjack,den,bought,christmas*,dying,yah,,
anybod*,it'd,oneself,,,,,,that'd,,becomes,didn't,did,cant,she'll,here's,during,whenever,must'nt,every,thirt*,fuck,babies,grandson*,mates,guy*,agreeab*,attachment*,argu*,fearful*,confront*,doom*,aggravat*,believed,control*,must'nt,borderline*,defined,confin*,,,circle,grey*,noisy,grips,armpit*,bodi*,blind*,foreplay,coffee*,annual*,car,bottom*,back,book*,celebrat*,blockbuster*,dishwasher*,broker*,church*,embalm*,yay,,
anymore,itll,our,,,,,,thatll,,becoming,do,didnt,can't,should,hopefully,except,whereas,mustn't,example*,thousand*,fucked*,baby*,granny,mate's,human*,agreed,attract*,arrogan*,fearing,contempt*,dull*,all,believes,cos,mustn't,chance,definite,conflict*,,,citrus*,image*,quiet*,hair*,arms*,body*,bronchi*,fuck,coke*,anymore,carried,breadth,before,boss*,challeng*,blog*,doghouse*,buck,clergy,epidemic*,yea,,
anyone*,it'll,ours,,,,,,that'll,,been,does,didn't,care,shouldnt,how,for,whether,neednt,extent,three,fucker*,bambino*,hubby,neighbor*,individual*,agreeing,award*,asham*,fears,contradic*,empt*,allot,believing,coz,mustve,confus*,definitely,conserv*,,,click*,lit,rang,hand,arous*,bone,bulimi*,fucked*,cook*,anytime,carrier*,brink,began,broker*,champ*,book*,domestic*,bucks,confess*,execution*,yeah,,
anything,its,ourselves,,,,,,thats,,began,doesnt,died,cares,should'nt,however,from,while,need'nt,extra,trillion*,fuckin*,band,husband*,neighbour*,infant,agreement*,awesome,assault*,frantic*,crap,fail*,allow*,categor*,create*,must've,contingen*,definitive*,constrain*,,,cold*,look,ring,handful*,arse,bones,burp*,fucker*,dessert*,anywhere,carries,broad*,begin,bureau*,climb*,café*,door*,budget*,convent,exterminat*,yep*,,
anyway*,it's,she,,,,,,that's,,begin,doesn't,disliked,carries,shouldn't,immediately,in,,needn't,extremely,twel*,fucks,bands,kin,pal,infant's,agrees,beaut*,asshole*,fright*,crappy,fatigu*,almost,choice*,creati*,need,depend,directly,constrict*,,,cologne*,looked,ringing,hands,arses,bony,cancer*,fuckin*,diet*,apart,carry ,capacit*,beginn*,burnout*,closure,camping,dorm*,business*,convents,fatal*,yes,,
anywhere,itself,she'd,,,,,,these,,begins,doing,done,carry,shouldve,instead,inside,,negat*,fairly,twent*,goddam*,bf*,ma,pals,infants*,alarm*,beloved,attack*,guilt*,critical,flunk*,along,choos*,cuz,needed,depended,distinct*,contain*,,,color*,looker*,rings,hard,arter*,boob*,cardia*,fucks,digest*,appear,carrying,ceiling*,begins,business*,compet*,cards,drape*,buy*,crucifi*,funer*,yup,,
