,,,Linguistic Inquiry and Word Count   LIWC 2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beyond,thatll,ye,,,,,,,,could've,it'd,heard,guess,,though,within,,,own,,,children*,stepkid*,,woman,award*,cheer*,cried,shaki*,fight*,misses,attribut*,determining,infers,unneccess*,incomplet*,must'nt,interfer*,,,fizz*,stare*,,squeez*,body*,fat,disease*,nipple*,fruit*,begins,drove,entrance*,during,consumer*,finaliz*,dream*,mattress*,dollar*,jihad*,suicid*,,,
billion*,that'll,you,,,,,,,,cried,itll,held,guesses,,too,without,,,page,,,child's,stepmot*,,woman's,awesome,cherish*,cries,shaky,foe*,missing,avert*,differentiat*,influenc*,unneed*,indecis*,mustn't,keep,,,flavor*,staring,,stroke*,boil*,fatt*,dizz*,nude*,fry*,begun,enter,environment*,earli*,contracts,first,drink*,microwave*,donat*,juda*,tomb*,,,
both,thats,youd,,,,,,,,depended,it'll,helped,happen,,totally,,,,part,,,citizen,uncle,,women*,awful,chuckl*,critical,shame*,fought,mourn*,avoid*,discern*,intend*,unwant*,indefinit*,mustve,keeping*,,,flavour*,sunli*,,stroki*,bone,feet,doctor*,orgasm*,glutton*,behavio*,entered,everywhere,early,corp ,firsts,drum,mop,econ*,karma,urn*,,,
bunch,that's,you'd,,,,,,,,depends,it's,hoped,happens,,truly,,,,partly,,,citizen'*,uncles,,,awkward*,clever*,critici*,shook,frustrat*,neglect*,aware*,disclo*,intent*,wanna,indetermin*,must've,keeps,,,flexib*,sunshin*,,thick*,boner*,finger*,dosage,orgies,gobble*,below,entering,exit*,end,corporat*,founded,drumm*,mortg*,embezzl*,kippur,war,,,
but,thee,youll,,,,,,,,describe,ive,kept,has,,usually,,,,percent,,,citizens,uncle's,,,bad,comed*,crude*,shy*,fuck,overwhelm*,ban,discover*,justif*,want,indirect*,necessar*,kept,,,fragil*,triang*,,thin,bones,flesh*,dose*,orgy,gobbling,bend,enters,exterior*,ended,corps,founder*,drums,neighbor*,euro,koran ,,,,
by,their*,you'll,,,,,,,,described,I've,knew,hasnt,,very,,,,piec*,,,colleague*,wife*,,,bashful*,comfort*,cruel*,sicken*,fucked*,pathetic*,banned,distinguish*,launch*,wanted,kind (of),never,limit*,,,fragran*,view,,thinn*,bony,foot,dosing,ovar*,grocer*,bending,explor*,far,ending,counc*,founding,drunk*,oven*,euros,kosher,,,,
can,them,your ,,,,,,,,did,let ,lied,hasn't,,well,,,,plenty,,,comment*,wive*,,,bastard*,commitment*,crushed,startl*,fucker*,pessimis*,banning,effect*,lead*,wanting,kinda,obvious*,neglect*,,,freez*,viewer*,,tight*,boob*,forearm*,dr,passion*,gulp*,bends,fall,farther,ends,couns*,fulfill*,dvd*,patio*,exchang*,krishna*,,,,
cannot,themselves,youre,,,,,,,,didnt,may,liked,hate,,when ,,,,portion,,,commun*,,,,battl*,compassion*,cry,strain*,fuckin*,piti*,bans,enlighten*,led,wants,kindof,perfect*,obstac*,,,froze*,viewing*,,touch*,booz*,forehead*,drows*,penis*,helpings,beneath,fallen,farthest,era,course*,gain*,easy*,pet,expens*,krisna*,,,,
cant,these,you're,,,,,,,,didn't,might,listened,hates,,whenever,,,,remaining,,,companion,,,,beaten,compliment*,crying,stress*,fucks,pity* ,barely,evaluat*,made,wish,likel*,positiv*,oppos*,,,fruit*,views,,warm*,bowel*,genital*,drs,perver*,hunger*,bent,falling,fit,etern*,coworker*,goal*,entertain*,pets,fee,lord*,,,,
can't,they,yours,,,,,,,,died,mightve,lived,have,,where,,,,rest,,,companions,,,,beaut*,confidence,cunt*,struggl*,fume*,regret*,barrier*,examin*,make,wished,lot,precis*,prevent*,,,fuzz*,vivid*,,weight,brain*,goosebump*,drug*,porn*,hungr*,beside,falls,floor*,eve,credential*,hero*,exercis*,pillow*,fees,lutheran*,,,,
cetera,theyd,youve,,,,,,,,dies,might've,looked,havent,,yet,,,,same,,,companionship*,,,,beloved,confident,cut,stunned,fuming,reject*,based,explain,maker*,wishes,lotof,proof,prohib*,,,gaz*,watch*,,weighted,bread,gums,dx,pregnan*,ingest*,beyond,fell,forward*,evening*,credit*,honor*,families*,porch,financ*,mecca,,,,
clearly,they'd,you've,,,,,,,,dislike,must,lost,haven't,,,,,,section,,,compassion*,,,,benefic*,confidently,cynic*,stuns,furious*,remorse*,bases,explained,makes,wishing,lots ,prove*,protect*,,,glanc*,white*,,weighting,breakfast*,gut,emphysem*,prostat*,kitchen*,biannu*,fill*,full*,event,cubicle*,honour*,family,remodel*,fortune*,meditat*,,,,
completely,theyll,,,,,,,,,disliked,mustnt,loved,hear,,,,,,segment,,,complain*,,,,benefit,considerate,damag*,suspicio*,fury,resign*,basis,explaining,making,would,lotsa,pure*,prude,,,glow*,whitish*,,weightless*,breast*,guts,enema*,prostitu*,liquor*,big,fled,further*,eventually,curricul*,ideal*,fantasi*,renovat*,franc,mercif*,,,,
constantly,they'll,,,,,,,,,dislikes,must'nt,made,hears,,,,,,selection,,,comrad*,,,,benefits,contented*,damn*,tense*,goddam*,ruin*,became,explains,manipul*,wouldnt,lotta,sure*,prudes,,,grab*,yellow*,,weightlift*,breath*,hair*,estrogen*,prude,lunch*,bigger,flee*,giant*,ever,customer*,importan*,fantasy,rent*,franchis*,mercy,,,,
could,theyve,,,,,,,,,do,mustn't,meant,helps,,,,,,series,,,confess*,,,,benefitt*,contentment,danger*,tensing,greed*,sad,because,explanat*,misle*,wouldn't,luck,total,prudish*,,,gray*,,,weights,bronchi*,hamstring*,exercis*,prudes,meal*,biggest,flew,gigantic,everyday,cv*,improve*,film*,residen*,francs,methodis*,,,,
couldnt,they've,,,,,,,,,does,mustve,met,heres,,,,,,several,,,confide,,,,benevolen*,convinc*,daze*,tension*,grouch*,sadde*,become,explor*,motiv*,wouldve,lucked,totally,refrain*,,,greas*,,,wet,brunch*,hand,exhaust*,prudish*,milk*,bimonth*,flies,ginormous,fade*,deadline*,improving,fishing,room,free,minister*,,,,
couldn't,thine,,,,,,,,,doesnt,must've,missed,here's,,,,,,significant,,,confided,,,,benign*,cool,decay*,terrified,grr*,sadly,becomes,feel,obedien*,would've,lucki*,true,refus*,,,green*,,,wetly,bulimi*,hands,faint*,pubic,obes*,birth*,flow*,global*,fading*,dean*,inadequa*,fitness,roomate*,freeb*,ministr*,,,,
couldve,thing*,,,,,,,,,doesn't,ought,moved,hes,,,,,,simple,,,confides,,,,best,courag*,defeat*,terrifies,harass*,sadness,becoming,feeling*,obey*,yearn*,luckless*,truest,rein*,,,grey*,,,,burp*,head,farsighted,pussy*,overate,biweek*,fly,ground*,fast,delegat*,incapab*,flatscreen*,roomed,fund,missionar*,,,,
could've,this,,,,,,,,,doing,oughta,mustve,he's,,,,,,singl*,,,confiding,,,,better,create*,defect*,terrify ,hate,sob,belief*,feels,origin,,lucks,truly,reluctan*,,,grip,,,,butt,heads,fat,queer*,overeat*,born,flying,hall,faster,demote*,incentive*,football*,roomie*,funded,mitzvah*,,,,
couple,those,,,,,,,,,done,oughtnt,must've,hope,,,,,,some,,,congregat*,,,,bitch*,creati*,defenc*,terrifying,hated,sobbed,believe,felt,originat*,,lucky,truth*,repress*,,,gripp*,,,,butts,heart,fatigu*,rape*,overweight,both,follow,height*,fastest,department*,incompeten*,frisbee*,rooming,funding,mohamm*,,,,
cuz,thou,,,,,,,,,dont,ought'nt,needed,hopes,,,,,,somewhat,,,consult*,,,,bitter*,credit*,defens*,terror*,hateful*,sobbing,believed,figur*,origins,,mainly,unambigu*,requir*,,,grips,,,,butt's,hearts,fats,raping,pasta*,bottom*,followed,high,february,dept,ineffect*,game*,roommate*,funds,monast*,,,,
definitely,thoust,,,,,,,,,don't,oughtn't,owed,hows,,,,,,term,,,contact*,,,,blam*,cute*,degrad*,timid*,hater*,sobs,believes,find*,outcome*,,marginal*,undeniab*,reserved,,,hair*,,,,cafeteria*,heel*,fatt*,rapist*,pizza*,breadth,following,highe*,final ,desk*,initiat*,gaming,rooms,gambl*,monk*,,,,
despite,thy,,,,,,,,,drank,oughtve,paid,how's,,,,,,ton,,,contradic*,,,,bless*,cutie*,depress*,trembl*,hates,solemn*,believing,forgave,permit*,,may,undoubt*,responsib*,,,hand,,,,cancer*,hip,fever*,screw*,restau*,break,follows,horizontal*,finally,diplom*,irresponsible*,garage*,rug,greed*,moral,,,,
did,us,,,,,,,,,driven,ought've,played,Im,,,,,,tons,,,convers*,,,,bold*,daring,depriv*,turmoil,hating,sorrow*,besides,forgiv*,pick ,,maybe,unquestion*,restrain*,,,handful*,,,,candie*,hips,flu,seduc*,salad*,brief*,forward*,huge*,finish*,director*,king*,garden*,rugs,income*,morality,,,,
didnt,we,,,,,,,,,drove,shall,ran,i'm,,,,,,total,,,counc*,,,,bonus*,darlin*,despair*,uncertain*,hatred,suffer,bet,found,produc*,,might,wholly,restrict*,,,hands,,,,candy,hornie*,gland*,sex*,sandwich*,bring,front,in,first,dissertat*,lazie*,golf*,shower*,inexpens*,morals,,,,
didn't,we'd,,,,,,,,,eaten,shant,said,is,,,,,,tripl*,,,couns*,,,,bore*,dear*,desperat*,uncomfortabl*,heartless*,suffered,bets,grasp*,provoc*,,mightve,,retain*,,,hard,,,,cardia*,horny,glaucoma,slut*,servings,bringing,go,inch*,firstly,dividend*,lazy,guitar*,sofa*,inherit*,mormon*,,,,
difference*,we'll,,,,,,,,,emailed,shan't,sat,isnt,,,,,,unique,,,cousin*,,,,boring,definite,despis*,uncontrol*,hell,sufferer*,betting,idea,provok*,,might've,,rigid*,,,harde*,,,,cardio*,intestin*,gynecolog**,std*,skinni*,brings,goes,inner*,firsts,doctor*,lead*,gym*,stove*,insurance,mosque*,,,,
do,we're,,,,,,,,,ended,she'd,saw,isn't,,,,,,various,,,coworker*,,,,bother*,definitely,destroy*,uneas*,hellish,suffering,binding,ideas,purpose*,,most,,safe*,,,harmon*,,,,checkup*,itch*,gyno*,stud,skinny*,brink,going,inside,followup*,dorm*,lesson*,hangin*,studio,invest*,muhamm*,,,,
does,weve,,,,,,,,,entered,she'll,seemed,it's,,,,,,version*,,,crowd*,,,,brave*,delectabl*,destruct*,unsure*,hostil*,suffers,blatant*,identif*,rational*,,mostly,,secur*,,,hear,,,,cheek*,jaw*,hallucinat*,syphili*,smok*,broad*,gone,insides,forever,dotcom,limit*,hangout*,studios,IRS,mujahid*,,,,
doesnt,we've,,,,,,,,,explain,shes,seen,ive,,,,,,whole,,,cultur*,,,,bright*,delicate*,devastat*,upset*,humiliat*,tears,block,imagin*,react*,,myster*,,stiff*,,,heard,,,,chest*,joints,hangover*,tit,snack*,brought,grew,interior*,former*,downsiz*,lose,hik*,sweep*,jackpot*,musl*,,,,
doesn't,what,,,,,,,,,explained,she's,sensed,I've,,,,,,worst,,,dad*,,,,brillian*,delicious*,devil*,uptight*,idiot*,traged*,blocked,induc*,reason*,,nearly,,stop,,,hearing,,,,chew*,kidney*,headache*,tits,soda*,building,grow,internal*,forward*,dropout*,loser*,hiphop,tenant*,kopek*,nun,,,,
doing,whatever,,,,,,,,,explains,should,sent,keep,,,,,,,,,dating,,,,broke,deligh*,difficult*,vulnerab*,insult*,tragic* ,blocker*,infer,response,,obscur*,,stopped,,,hears,,,,chills,knee*,heal,titties,starve*,busy,growing,internation*,frequent,duti*,loses,hobb*,toaster*,kron*,nuns,,,,
done,whats,,,,,,,,,fed,shouldnt,shared,keeps,,,,,,,,,daughter*,,,,brutal*,determina*,disadvantage*,worr*,interrup*,unhapp*,blocking,inferr*,result*,,occasional*,,stopper*,,,heavie*,,,,chiropract*,knuckle*,healed,titty,starving,came,grown,intersect*,frequented,duty,losing,hockey*,vacuum*,lease*,orthodox*,,,,
dont,what's,,,,,,,,,feel,should'nt,shouldve,know,,,,,,,,,deal,,,,burden*,determined,disagree*,,intimidat*,unimportant,blocks,infers,root*,,often,,stopping,,,heavy*,,,,chlamydia,leg,healer*,vagina*,stuffed,capacit*,growth,into,frequenting,earn*,loss*,holiday*,window*,leasing*,pagan*,,,,
don't,which,,,,,,,,,feels,shouldn't,should've,knows,,,,,,,,,describe,,,,calm*,devot*,disappoint*,,jealous*,unsuccessful*,blur*,info,since,,opinion,,stops,,,honey,,,,chok*,legs*,healing,vd,sugar*,car,hang,kilometer*,frequently,econ*,lost,horseback,yard,lira,paradise,,,,
doubl*,whichever,,,,,,,,,felt,shouldve,showed,lets,,,,,,,,,described,,,,care,digni*,disaster*,,jerk,useless* ,borderline*,inform,solution*,,option,,stubborn*,,,hot,,,,cholester*,lip,heals,virgin*,supper*,carried,headed,km*,frequents,edit*,master,hotel*,,loan*,passover,,,,
down,who,,,,,,,,,fled,should've,slept,let's,,,,,,,,,describes,,,,cared,divin*,discomfort*,,jerked,weep*,boss*,information,solve,,or,,subdue*,,,hott*,,,,chow*,lips*,health*,whore*,swallow*,carrier*,heading,land,Friday*,educat*,mastered,hunting,,lotter*,pastor*,,,,
dozen*,whod,,,,,,,,,flew,thatd,sold,listen,,,,,,,,,describing,,,,carefree,dynam*,discourag*,,jerks,wept,both,informative*,solved,,overall,,suppress*,,,hush*,,,,chronic*,liver*,heartburn*,womb*,tast*,carries,hik*,large*,futur*,elementary,masterful*,inn,,mastercard*,penance,,,,
during,who'd,,,,,,,,,follow,that'd,spent,listens,,,,,,,,,disclo*,,,,careful*,eager*,disgust*,,kill*,whine*,bound*,informed,solves,,partly,,taboo*,,,image*,,,,cigar*,lung*,hemor*,,tea,carry ,increas*,ledge*,generation*,employ*,mastering,inns,,merchant*,pentecost*,,,,
each,wholl,,,,,,,,,followed,thatll,spoke*,look,,,,,,,,,discuss*,,,,careless*,ease*,dishearten*,,liar*,whining,brake*,informing,solving,,perhaps,,tidi*,,,inaudibl*,,,,clinic*,mouth*,herpes,,thirst*,carrying,jog*,ledging,happening,esl,mastermind*,intramural*,,money*,pew,,,,
eight*,who'll,,,,,,,,,follows,that'll,started,looks,,,,,,,,,divorc*,,,,cares,easie*,disillusion*,,lied,woe*,bridle*,informs,source*,,possib*,,tidy,,,inhal*,,,,clothes,mucous*,hiccup*,,veget*,catch,journey*,left,histor*,exam,masters,ipod*,,monopol*,pews,,,,
either,whom,,,,,,,,,forgot*,thats,stayed,love,,,,,,,,,email,,,,caring,easily,dislike,,lies,worthless* ,but,inquir*,stimul*,,practically,,tight*,,,leather*,,,,cock,muscle*,hiv,,veggie*,caught,jump*,level,hour*,exams,mastery,jazz*,,mortg*,piety,,,,
eleven,whose,,,,,,,,,fought,that's,stood,loves,,,,,,,,,email'*,,,,casual,easiness,disliked,,lous*,yearn*,came,insight*,therefor*,,pretty,,uptight*,,,lick*,,,,cocks*,muscular,hormone*,,waist*,cease*,lead*,levels,hurrie*,excel*,medal*,jog*,,nickel*,pilgrim*,,,,
else,ya,,,,,,,,,found,theres,stopped,make,,,,,,,,,emailed,,,,casually,easing,dislikes,,ludicrous*,,careful*,inspir*,thus,,probable,,veto,,,light,,,,codeine,naked,hospital*,,water,ceasing,leave,littl*,hurry*,executive*,mediocr*,joke*,,overpaid,pious,,,,
enough,yall,,,,,,,,,fuck,there's,stuck,makes,,,,,,,,,emailer*,,,,certain*,easy*,disliking,,lying,,categor*,interpret*,trigger*,,probablistic*,,wait,,,limp*,,,,coffee*,nasal,hungover,,weigh ,ceiling*,leaves,local*,immediate,expel*,motiv*,joking,,overtime,pope*,,,,
entire*,y'all,,,,,,,,,fucked*,theyd,studied,mean,,,,,,,,,emailing,,,,challeng*,ecsta*,dismay*,,mad,,caus*,justif*,use,,probably,,waited,,,listen,,,,coke*,neck,hyperten*,,weighed,center*,leaving,longitud*,immediately,expulsion*,obtain*,karaoke,,owe ,prais*,,,,
equal*,ye,,,,,,,,,fucks,they'd,sucked,means,,,,,,,,,emails,,,,champ*,efficien*,dissatisf*,,maddening,,caut*,knew,used,,puzzl*,,waiting,,,listened,,,,colon,nerve*,hypotherm*,,weighing*,centre*,led,low*,immediateness,factories,opportun*,keg,,owed,pray*,,,,
especially,you,,,,,,,,,gave,theyll,suffered,miss,,,,,,,,,encourag*,,,,charit*,elegan*,distract*,,madder,,cease*,know,uses,,question*,,waits,,,listener*,,,,colono*,neural*,ibuprofen,,weighs,centur*,motion*,map,immortal*,factory,organiz*,kegger,,owes,preach*,,,,
etc,youd,,,,,,,,,get,they'll,supported,misses,,,,,,,,,enemie*,,,,charm*,encourag*,distraught,,maddest,,ceasing,knowab*,using,,quite,,wariness,,,listening,,,,colons,neuron*,ICU,,weight,change,move,mapped,inciden*,facult*,originat*,keggers,,owing,presbyterian*,,,,
even,you'd,,,,,,,,,gets,theyre,supposed,need,,,,,,,,,enemy*,,,,cheat*,energ*,distress*,,maniac*,,certain*,knower*,why,,random*,,wary,,,listens,,,,coma*,nipple*,ill,,whiskey*,changed,moved,mapping,infinit*,fail*,outcome*,kegs,,paid,priest*,,,,
eventually,youll,,,,,,,,,give,they're,taken,needs,,,,,,,,,everybod*,,,,cheer*,engag*,distrust*,,mock,,chance,knowing,,,seem,,withheld,,,lit,,,,condom,nose*,illness*,,whisky*,changes,movement*,maps,initial*,fax*,overcome,laidback,,pay*,prophe*,,,,
ever,you'll,,,,,,,,,given,theyve,talked,owe,,,,,,,,,everyone*,,,,cherish*,enjoy*,disturb*,,mocked,,change,knowledg*,,,seemed,,withhold*,,,look,,,,condoms,nostril*,immun*,,wine,changing,mover*,mass,initiat*,feedback,overconfiden*,liquor*,,pence,protestant*,,,,
every,your ,,,,,,,,,gives,they've,taught,owes,,,,,,,,,everything*,,,,chuckl*,entertain*,domina*,,mocker*,,changed,known,,,seeming*,,yield*,,,looked,,,,congest*,nude*,indigestion,,wines,childhood,moves,meter*,instan*,finaliz*,overtak*,magazine*,,pennies,psalm*,,,,
everybod*,youre,,,,,,,,,go,was,tended,see,,,,,,,,,ex,,,,clever*,enthus*,doom*,,mocking,,changes,knows,,,seems,,,,,looker*,,,,constipat*,nudi*,infect*,,,christmas*,moving,metre*,interval*,finals,perfect*,mall,,penny,purgator*,,,,
everyone*,you're,,,,,,,,,goes,wasnt,thanked,seem,,,,,,,,,exbf*,,,,comed*,excel*,dork*,,mocks,,changing,learn*,,,shaki*,,,,,looking,,,,contag*,orgasm*,inflam*,,,city,pass,mid,january,financ*,perform*,malls,,peso,puritan*,,,,
everything*,yours,,,,,,,,,gone,wasn't,thought,seems,,,,,,,,,exboyfriend*,,,,comfort*,excit*,doubt*,,molest*,,choice*,lesson*,,,shaky,,,,,looks,,,,cook*,ovar*,ingest*,,,climb*,passed,middl*,july,fired,persever*,marathon*,,pesos,quran*,,,,
example*,youve,,,,,,,,,gonna,we'd,threw,sees,,,,,,,,,excus*,,,,commitment*,fab,dread*,,moron*,,choos*,link*,,,some,,,,,loose*,,,,cornea*,palm,injur*,,,clock*,passes,mile*,june,firing,persist*,margarita*,,poor*,qur'an*,,,,
except,you've,,,,,,,,,got,we'll,told,shes,,,,,,,,,exes,,,,compassion*,fabulous*,dull*,,murder*,,clarif*,logic*,,,somebod*,,,,,loud*,,,,coronar*,palms,insomnia*,,,close,passing,narrow*,last*,franchis*,plan,martini*,,portfolio*,rabbi,,,,
extenet,,,,,,,,,,gotta,were,took,she's,,,,,,,,,exgf*,,,,complain*,faith*,dumb*,,nag*,,clear,mean,,,somehow,,,,,mint*,,,,cough*,pee,insulin,,,closed,pull*,nation*,late,frat,planned,meditat*,,poverty*,rabbinical,,,,
extra,,,,,,,,,,gotten,weren't,tried,start,,,,,,,,,exgirl*,,,,compliment*,fantastic*,dump*,,nast*,,clearly,meaning*,,,someone*,,,,,musi*,,,,cramp*,pelvi*,intox*,,,closely,push*,near,lately,fratern*,planner*,minesweeper,,price*,rabbis,,,,
extremely,,,,,,,,,,guess,weve,turned,starts,,,,,,,,,exhubby*,,,,concerned,favor*,dwell*,,obnoxious*,,close,means,,,something*,,,,,nasal,,,,crap,penis*,itch*,,,closer,put,neared,later,freshm*,planning,motel*,,prici*,ramadan,,,,
fairly,,,,,,,,,,guessed,we've,understood,suck,,,,,,,,,exhusband*,,,,confidence,favour*,egotis*,,offence*,,closure,meant,,,sometime,,,,,noise,,,,crotch,perspir*,iv,,,closes,puts,nearer,latest,gmat,plans,movie*,,profit*,religio*,,,,
few*,,,,,,,,,,guesses,whats,used,sucks,,,,,,,,,explain,,,,confident,fearless*,embarrass*,,offend*,,cohere*,memor*,,,sometimes,,,,,noises,,,,cuddl*,piss*,leuke*,,,closest,putting,nearest,like,goal*,potential*,mtv*,,purchas*,rite,,,,
fift*,,,,,,,,,,had,what's,viewed,support,,,,,,,,,explained,,,,confidently,festiv*,emotional,,offens*,,come,misunder*,,,somewhat,,,,,noisy,,,,cyst*,poop*,life,,,closing,ran,nearing,long,gov,power*,museum*,,rebate*,rites,,,,
first,,,,,,,,,,hadnt,wheres,waited,supports,,,,,,,,,explaining,,,,confront*,fiesta*,empt*,,outrag*,,commit,motiv*,,,sort,,,,,nose*,,,,deaf*,prick*,living,,,come,receiv*,nears,longe*,govern*,practice,musi*,,recession*,ritual*,,,,
firstly,,,,,,,,,,hadn't,where's,walked,suppose,,,,,,,,,explains,,,,confus*,fine,enemie*,,paranoi*,,commitment*,notice*,,,sorta,,,,,nostril*,,,,decongest*,prostat*,lozenge*,,,comes,remov*,north*,march*,gpa,prais*,nap,,refund*,rosaries,,,,
firsts,,,,,,,,,,happen,whod,wanted,supposes,,,,,,,,,express*,,,,considerate,flatter*,enemy*,,pettie*,,commits,noticing,,,sortof,,,,,odor*,,,,dentist*,pulse,lump,,,coming,replace*,nowhere,meantime,grad,presiden*,naps,,reimburs*,rosary,,,,
five,,,,,,,,,,happened,who'd,was,take,,,,,,,,,exwife*,,,,contempt*,flawless*,enrag*,,petty*,,committ*,perceiv*,,,sorts,,,,,odour*,,,,derma*,pussies,lymph*,,,common,replacing,off,meanwhile,grade*,pride,netflix,,rent*,roshashan*,,,,
for,,,,,,,,,,happens,wholl,wasnt,takes,,,,,,,,,exwive*,,,,contented*,flexib*,envie*,,piss*,,compel*,percept*,,,sortsa,,,,,oil*,,,,dessert*,pussy*,mammogram,,,connection*,ridden,on,min,grading,prize*,nintendo*,,retail*,sabbath*,,,,
form,,,,,,,,,,has,who'll,wasn't,taking,,,,,,,,,families*,,,,contentment,flirt*,envious,,poison*,,complete,ponder*,,,spose,,,,,orange*,,,,detox*,rash*,manicdep*,,,constant ,ride,onto,minute*,graduat*,produc*,novel,,revenue*,sacred,,,,
four*,,,,,,,,,,hasnt,will,went,tend,,,,,,,,,family,,,,contradic*,fond,envy*,,prejudic*,,completed,prefer*,,,suppose,,,,,palatabl*,,,,diabet*,retina*,medic*,,,constantly,rides,open,modern*,gre,proficien*,novels,,rich*,sacrific*,,,,
frequently,,,,,,,,,,hasn't,wont,were,tends,,,,,,,,,father*,,,,convinc*,fondly,evil*,,prick*,,completely,presum*,,,supposed,,,,,perfum*,,,,diagnos*,rib,migrain*,,,continu*,riding,opened,moment*,hardwork*,progress,opera*,,ruble*,saint*,,,,
from,,,,,,,,,,hate,won't,weren't,thank,,,,,,,,,fellow*,,,,cool,fondness,excruciat*,,protest,,completes,prove*,,,supposes,,,,,picture,,,,diarr*,ribs,miscar*,,,corner,rise*,opening*,monday*,headhunter*,promot*,orchestra,,rupee*,salvation,,,,
full*,,,,,,,,,,hated,would,weve,thanks,,,,,,,,,female*,,,,courag*,forgave,exhaust*,,protested,,complex*,proving,,,supposing,,,,,pink*,,,,dick,saliv*,mono,,,corners,rising,out,month*,highschool*,proud*,parks,,salar*,satan*,,,,
generally,,,,,,,,,,hates,wouldnt,we've,thats,,,,,,,,,feud*,,,,crap,forgiv*,fail*,,protesting,,compliance,quer*,,,supposition*,,,,,press,,,,dicks,scalp,mri ,,,countr*,rode,outer*,morning*,hire*,purpose*,partie*,,sale,scriptur*,,,,
greater,,,,,,,,,,have,wouldn't,wished,that's,,,,,,,,,fiance*,,,,crappy,free,fake,,punish*,,complica*,question*,,,tempora*,,,,,pressed,,,,diet*,sensation,myopi*,,,coverage,run,outside,never,hiring,queen,party*,,sales,sect,,,,
greatest,,,,,,,,,,havent,wouldve,woke,theres,,,,,,,,,fight*,,,,craz*,free*,fatal*,,rage*,,complie*,rational*,,,tentativ*,,,,,presser*,,,,digest*,sensations,nause*,,,cross*,runner*,outsides,new,homework*,queenly,pitcher*,,saving*,sectarian,,,,
had,,,,,,,,,,haven't,would've,woken,there's,,,,,,,,,flatter*,,,,create*,freeb*,fatigu*,,raging,,comply*,realiz*,,,theor*,,,,,presses,,,,dine ,shirt*,nearsighted,,,cruis*,running,outward*,newer,inc,quit,play,,scholarship*,sects,,,,
hadnt,,,,,,,,,,having,youd,won,theyre,,,,,,,,,folks,,,,creati*,freed*,fault*,,rape*,,compreh*,rearrang*,,,typically,,,,,pungen*,,,,dined,shit*,neurolog*,,,current*,runs,over,newest,income*,quitt*,played,,sell,seminar*,,,,
hadn't,,,,,,,,,,hear,you'd,wondered,they're,,,,,,,,,forgave,,,,credit*,freeing,fear,,raping,,compulsiv*,reason*,,,uncertain*,,,,,purpl*,,,,diner,shoe*,numb*,,,cycle*,rush*,overflow*,newly,incorp*,rank,playful*,,seller*,shi'*,,,,
half,,,,,,,,,,heard,youll,wore,theyve,,,,,,,,,forgiv*,,,,cried,freely,feared,,rapist*,,concentrat*,recall*,,,unclear*,,,,,quiet*,,,,diners,shoulder*,nurse*,,,dail*,send*,overlap*,next,industr*,ranked,playing,,selling,shiite*,,,,
has,,,,,,,,,,hears,you'll,worked,they've,,,,,,,,,fought,,,,cries,freeness,fearful*,,rebel*,,conclud*,reckon*,,,undecided*,,,,,rancid*,,,,dines,skelet*,nutrition*,,,danc*,sent,place*,night,instruct*,ranking,plays,,sells,shrine*,,,,
hasnt,,,,,,,,,,hed,youre,worn,think,,,,,,,,,friend*,,,,critical,freer,fearing,,resent*,,conclus*,recogni*,,,undetermin*,,,,,rang,,,,dining,skin,obes*,,,date*,shake*,placing*,nightly,interview*,ranks,playstation*,,shilling*,sikh*,,,,
hasn't,,,,,,,,,,he'd,you're,wouldve,thinks,,,,,,,,,game*,,,,critici*,frees*,fears,,revenge*,,confess*,recollect*,,,unknow*,,,,,rectang*,,,,dinner*,skinni*,OCD,,,day*,shook,platform*,nights,inventory,recover*,poetry,,shop,sin,,,,
have,,,,,,,,,,held,youve,would've,tries,,,,,,,,,gather*,,,,crude*,friend*,feroc*,,ridicul*,,confidence,reconcil*,,,unlikel*,,,,,red,,,,disease*,skull,optometr*,,,decade*,slid,point,noon*,jd,requir*,poker,,shopaholic*,sinn*,,,,
havent,,,,,,,,,,he'll,you've,written,try,,,,,,,,,gave,,,,cruel*,fun,feud*,,rude*,,confident,reconsider*,,,unluck*,,,,,redde*,,,,dish,sleep*,orthodon*,,,decay*,slide,position*,november,job*,resolv*,pool*,,shopp*,sins,,,,
haven't,,,,,,,,,,helped,,wrote,turn,,,,,,,,,gentlem*,,,,crushed,funn*,fiery,,sarcas*,,confidently,reconstruct*,,,unresolv*,,,,,reddish*,,,,dishes,slender*,orthoped*,,,december,slides,remote*,now,junior*,resourceful*,pretend*,,shops,soul,,,,
having,,,,,,,,,,helps,,,turns,,,,,,,,,gf*,,,,cry,genero*,fight*,,savage*,,confin*,reevaluat*,,,unsettl*,,,,,redness,,,,dizz*,slept,overweight,,,deep*,sliding,right,occasional*,keyboard*,responsib*,pub,,sold,souls,,,,
hed,,,,,,,,,,heres,,,understand,,,,,,,,,girl,,,,crying,gentle,fired,,sceptic*,,conflict*,refer*,,,unsure*,,,,,reds,,,,doctor*,spat,pain,,,delay*,step,road*,oclock*,kinderg*,reward*,pubs,,spend,spirit*,,,,
